gene,metric,imaging,r_res,p_res,n,n_carriers_img,CGC,in_pathway,fdr_full,fdr_per_gene,fdr_per_gene_metric,fdr_best_per_gene,cohort
MACF1,max_abs_dll,kits_tumor_necrotic_frac,-0.0194576728670971,0.805867039906916,162,7,False,False,0.9313351073130276,0.8397345058477642,0.8397345058477642,,KIRC
MACF1,sum_abs_dll,kits_tumor_necrotic_frac,-0.0194576728670971,0.805867039906916,162,7,False,False,0.9313351073130276,0.8397345058477642,0.8397345058477642,,KIRC
XIRP2,n_mutations,kits_tumor_necrotic_frac,0.019204912802807,0.8083399369045376,162,8,False,False,0.9331484041074825,0.9169145731727966,0.8083399369045376,,KIRC
MACF1,n_mutations,kits_tumor_necrotic_frac,-0.0191753502776151,0.8086292885136797,162,7,False,False,0.9331484041074825,0.8397345058477642,0.8306847105900619,,KIRC
NAV3,mean_abs_dll,kits_tumor_necrotic_frac,0.0191095796886102,0.8092731297786042,162,7,False,False,0.9331484041074825,0.8353787146101721,0.8092731297786042,,KIRC
PLXNA4,min_dll,tumor_kidney_ratio,-0.0190097621363683,0.810250507722013,162,5,False,False,0.9331484041074825,0.8186383287385821,0.810250507722013,,KIRC
PLXNA4,top1_signed,tumor_kidney_ratio,-0.0190097621363683,0.810250507722013,162,5,False,False,0.9331484041074825,0.8186383287385821,0.810250507722013,,KIRC
PLXNA4,sum_abs_dll,tumor_kidney_ratio,0.0190097621363683,0.810250507722013,162,5,False,False,0.9331484041074825,0.8186383287385821,0.810250507722013,,KIRC
PLXNA4,mean_abs_dll,tumor_kidney_ratio,0.0190097621363683,0.810250507722013,162,5,False,False,0.9331484041074825,0.8186383287385821,0.810250507722013,,KIRC
PLXNA4,max_dll,tumor_kidney_ratio,-0.0190097621363683,0.810250507722013,162,5,False,False,0.9331484041074825,0.8186383287385821,0.810250507722013,,KIRC
PLXNA4,max_abs_dll,tumor_kidney_ratio,0.0190097621363683,0.810250507722013,162,5,False,False,0.9331484041074825,0.8186383287385821,0.810250507722013,,KIRC
MTOR,max_dll,tumor_kidney_ratio,0.0189506897774672,0.8108290614177569,162,9,True,True,0.9334544441630348,0.8550720400474409,0.8108290614177569,,KIRC
NUP205,n_mutations,kits_tumor_necrotic_frac,-0.0187165100047132,0.8131236186547481,162,5,False,False,0.9336042569726968,0.8486099611309167,0.8554751479431857,,KIRC
MUC16,top1_signed,kits_tumor_heterogeneity,-0.0186637139747567,0.8136411488758764,162,16,False,False,0.9336042569726968,0.93235726982533,0.8136411488758764,,KIRC
MUC16,min_dll,kits_tumor_heterogeneity,-0.0186637139747567,0.8136411488758764,162,16,False,False,0.9336042569726968,0.93235726982533,0.8136411488758764,,KIRC
UBR4,max_dll,kits_tumor_necrotic_frac,-0.0186046383621475,0.8142203299146542,162,6,False,False,0.9336042569726968,0.9499237182337632,0.8142203299146542,,KIRC
UBR4,min_dll,kits_tumor_necrotic_frac,-0.0186046383621475,0.8142203299146542,162,6,False,False,0.9336042569726968,0.9499237182337632,0.8142203299146542,,KIRC
UBR4,top1_signed,kits_tumor_necrotic_frac,-0.0186046383621475,0.8142203299146542,162,6,False,False,0.9336042569726968,0.9499237182337632,0.8142203299146542,,KIRC
CHD4,max_dll,tumor_kidney_ratio,0.0185343733350743,0.8149093436686984,162,5,True,False,0.9336042569726968,0.8185105822967064,0.8149093436686984,,KIRC
CHD4,top1_signed,tumor_kidney_ratio,0.0185343733350743,0.8149093436686984,162,5,True,False,0.9336042569726968,0.8185105822967064,0.8149093436686984,,KIRC
CHD4,max_abs_dll,tumor_kidney_ratio,-0.0185343733350743,0.8149093436686984,162,5,True,False,0.9336042569726968,0.8185105822967064,0.8149093436686984,,KIRC
CHD4,sum_abs_dll,tumor_kidney_ratio,-0.0185343733350743,0.8149093436686984,162,5,True,False,0.9336042569726968,0.8185105822967064,0.8149093436686984,,KIRC
CHD4,mean_abs_dll,tumor_kidney_ratio,-0.0185343733350743,0.8149093436686984,162,5,True,False,0.9336042569726968,0.8185105822967064,0.8149093436686984,,KIRC
CHD4,min_dll,tumor_kidney_ratio,0.0185343733350743,0.8149093436686984,162,5,True,False,0.9336042569726968,0.8185105822967064,0.8149093436686984,,KIRC
RBM39,n_mutations,kits_tumor_necrotic_frac,0.0183806251641303,0.8164174811004871,162,5,False,False,0.9336042569726968,0.8164174811004871,0.8164174811004871,,KIRC
EP300,n_mutations,tumor_kidney_ratio,-0.0183351558226449,0.8168636256006518,162,5,True,True,0.9336042569726968,0.8168636256006518,0.8168636256006518,,KIRC
